line_number,target_node,skipFirst,priority,incoming_scoreEnd
501,69733,1,1,66
502,69733,0,5,69
503,69735,1,2,67
504,69736,1,1,66
505,69739,1,0,65
506,69741,1,1,66
507,69742,1,2,67
508,69745,1,2,67
509,69747,1,3,68
510,69747,0,5,69
512,69733,1,1,66
513,69733,0,5,69
514,69735,1,2,67
515,69736,1,1,66
516,69739,1,0,65
517,69741,1,1,66
518,69742,1,2,67
519,69745,1,2,67
520,69747,1,3,68
521,69747,0,5,69
523,69733,1,1,66
524,69733,0,5,69
525,69733,0,4,68
526,69735,1,2,67
527,69736,1,1,66
528,69739,1,0,65
529,69741,1,1,66
530,69742,1,2,67
531,69745,1,2,67
532,69745,0,4,68
534,69733,1,1,66
535,69733,0,5,69
536,69733,0,4,68
537,69735,1,2,67
538,69736,1,1,66
539,69739,1,0,65
540,69741,1,1,66
541,69742,1,2,67
542,69745,1,2,67
543,69745,0,4,68
545,69733,1,1,66
546,69733,0,5,69
547,69733,0,4,68
548,69733,0,3,67
549,69735,1,2,67
550,69736,1,1,66
551,69739,1,0,65
552,69741,1,1,66
553,69741,0,3,67
554,69742,1,2,67
555,69742,0,3,67
557,69733,1,1,66
558,69733,0,5,69
559,69733,0,4,68
560,69733,0,3,67
561,69735,1,2,67
562,69736,1,1,66
563,69739,1,0,65
564,69741,1,1,66
565,69741,0,3,67
566,69742,1,2,67
567,69742,0,3,67
569,69733,1,1,66
570,69733,0,5,69
571,69733,0,4,68
572,69733,0,3,67
573,69735,1,2,67
574,69736,1,1,66
575,69739,1,0,65
576,69739,0,2,66
577,69741,1,1,66
578,69741,0,3,67
580,69733,1,1,66
581,69733,0,5,69
582,69733,0,4,68
583,69733,0,3,67
584,69735,1,2,67
585,69736,1,1,66
586,69739,1,0,65
587,69739,0,2,66
588,69741,1,1,66
589,69741,0,3,67
591,69733,1,1,66
592,69733,0,5,69
593,69733,0,4,68
594,69733,0,3,67
595,69733,0,2,66
596,69735,1,2,67
597,69736,1,1,66
598,69739,1,0,65
599,69739,0,2,66
600,69739,0,2,66
602,69733,1,1,66
603,69733,0,5,69
604,69733,0,4,68
605,69733,0,3,67
606,69733,0,2,66
607,69735,1,2,67
608,69736,1,1,66
609,69739,1,0,65
610,69739,0,2,66
611,69739,0,2,66
613,69733,1,1,66
614,69733,0,5,69
615,69733,0,4,68
616,69733,0,3,67
617,69733,0,2,66
618,69733,0,1,65
619,69735,1,2,67
620,69736,1,1,66
621,69736,0,1,65
623,69733,1,1,66
624,69733,0,5,69
625,69733,0,4,68
626,69733,0,3,67
627,69733,0,2,66
628,69733,0,1,65
629,69735,1,2,67
630,69736,1,1,66
631,69736,0,1,65
633,69733,1,1,66
634,69733,0,5,69
635,69733,0,4,68
636,69733,0,3,67
637,69733,0,2,66
638,69733,0,1,65
639,69733,0,1,64
640,69735,1,2,67
641,69735,0,1,64
643,69733,1,1,66
644,69733,0,5,69
645,69733,0,4,68
646,69733,0,3,67
647,69733,0,2,66
648,69733,0,1,65
649,69733,0,1,64
650,69735,1,2,67
651,69735,0,1,64
653,69733,1,1,66
654,69733,0,5,69
655,69733,0,4,68
656,69733,0,3,67
657,69733,0,2,66
658,69733,0,1,65
659,69733,0,1,64
660,69733,0,2,63
662,69733,1,1,66
663,69733,0,5,69
664,69733,0,4,68
665,69733,0,3,67
666,69733,0,2,66
667,69733,0,1,65
668,69733,0,1,64
669,69733,0,2,63
671,69729,0,0,31
672,69731,0,0,31
674,69729,0,0,31
675,69731,0,0,31
677,69727,0,0,30
678,69729,0,0,31
680,69727,0,0,30
681,69729,0,0,31
683,69727,0,0,30
684,69727,0,1,30
686,69727,0,0,30
687,69727,0,1,30
689,69723,0,0,27
690,69725,0,0,27
692,69723,0,0,27
693,69725,0,0,27
695,69723,0,0,27
696,69723,0,1,26
698,69723,0,0,27
699,69723,0,1,26
719,69723,1,0,89
721,69719,0,0,37
722,69721,0,0,37
724,69719,0,0,37
725,69721,0,0,37
727,69717,0,1,36
728,69719,0,0,37
730,69717,0,1,36
731,69719,0,0,37
733,69717,0,1,36
734,69717,0,0,36
736,69717,0,1,36
737,69717,0,0,36
739,69711,0,1,2
740,69715,0,1,2
742,69711,0,1,2
743,69715,0,1,2
745,69709,0,2,3
746,69711,0,1,2
747,69712,0,2,3
749,69709,0,2,3
750,69711,0,1,2
751,69712,0,2,3
753,69707,0,3,4
754,69709,0,2,3
755,69711,0,1,2
757,69707,0,3,4
758,69709,0,2,3
759,69711,0,1,2
761,69707,0,3,4
762,69709,0,2,3
763,69709,0,2,3
765,69707,0,3,4
766,69709,0,2,3
767,69709,0,2,3
769,69707,0,3,4
770,69707,0,3,4
772,69707,0,3,4
773,69707,0,3,4
788,69707,1,4,69
789,69709,1,3,68
790,69711,1,2,67
791,69712,1,3,68
792,69715,1,2,67
793,69717,1,0,99
795,69707,1,4,69
796,69709,1,3,68
797,69711,1,2,67
798,69711,0,0,64
799,69712,1,3,68
800,69715,1,2,67
801,69715,0,0,64
803,69707,1,4,69
804,69709,1,3,68
805,69711,1,2,67
806,69711,0,0,64
807,69712,1,3,68
808,69715,1,2,67
809,69715,0,0,64
811,69707,1,4,69
812,69709,1,3,68
813,69709,0,0,63
814,69711,1,2,67
815,69711,0,0,64
816,69712,1,3,68
817,69712,0,0,63
819,69707,1,4,69
820,69709,1,3,68
821,69709,0,0,63
822,69711,1,2,67
823,69711,0,0,64
824,69712,1,3,68
825,69712,0,0,63
827,69707,1,4,69
828,69707,0,1,62
829,69709,1,3,68
830,69709,0,0,63
831,69711,1,2,67
832,69711,0,0,64
834,69707,1,4,69
835,69707,0,1,62
836,69709,1,3,68
837,69709,0,0,63
838,69711,1,2,67
839,69711,0,0,64
841,69707,1,4,69
842,69707,0,1,62
843,69709,1,3,68
844,69709,0,0,63
845,69709,0,1,63
847,69707,1,4,69
848,69707,0,1,62
849,69709,1,3,68
850,69709,0,0,63
851,69709,0,1,63
853,69707,1,4,69
854,69707,0,1,62
855,69707,0,0,62
857,69707,1,4,69
858,69707,0,1,62
859,69707,0,0,62
861,69703,0,0,4
862,69705,0,0,4
864,69703,0,0,4
865,69705,0,0,4
867,69701,0,1,3
868,69703,0,0,4
870,69701,0,1,3
871,69703,0,0,4
873,69701,0,1,3
874,69701,0,0,3
876,69701,0,1,3
877,69701,0,0,3
892,69701,1,0,66
893,69703,1,2,67
894,69705,1,2,67
895,69707,1,3,125
897,69701,1,0,66
898,69703,1,2,67
899,69703,0,4,68
900,69705,1,2,67
901,69705,0,4,68
903,69701,1,0,66
904,69703,1,2,67
905,69703,0,4,68
906,69705,1,2,67
907,69705,0,4,68
909,69701,1,0,66
910,69701,0,3,67
911,69703,1,2,67
912,69703,0,4,68
914,69701,1,0,66
915,69701,0,3,67
916,69703,1,2,67
917,69703,0,4,68
919,69701,1,0,66
920,69701,0,3,67
921,69701,0,3,67
923,69701,1,0,66
924,69701,0,3,67
925,69701,0,3,67
927,69697,0,0,30
928,69699,0,0,30
930,69697,0,0,30
931,69699,0,0,30
933,69695,0,1,29
934,69697,0,0,30
936,69695,0,1,29
937,69697,0,0,30
939,69695,0,1,29
940,69695,0,0,29
942,69695,0,1,29
943,69695,0,0,29
945,69691,0,0,10
946,69693,0,0,10
948,69691,0,0,10
949,69693,0,0,10
951,69687,0,1,9
952,69691,0,0,10
954,69687,0,1,9
955,69691,0,0,10
957,69687,0,1,9
958,69687,0,0,9
960,69687,0,1,9
961,69687,0,0,9
977,69687,1,0,72
978,69691,1,8,73
979,69693,1,8,73
980,69695,1,9,92
982,69687,1,0,72
983,69691,1,8,73
984,69691,0,10,74
985,69693,1,8,73
986,69693,0,10,74
988,69687,1,0,72
989,69691,1,8,73
990,69691,0,10,74
991,69693,1,8,73
992,69693,0,10,74
994,69687,1,0,72
995,69687,0,9,73
996,69691,1,8,73
997,69691,0,10,74
999,69687,1,0,72
1000,69687,0,9,73
1001,69691,1,8,73
1002,69691,0,10,74
1004,69687,1,0,72
1005,69687,0,9,73
1006,69687,0,9,73
1008,69687,1,0,72
1009,69687,0,9,73
1010,69687,0,9,73
1012,69688,0,0,9
1014,69688,0,0,9
1025,69687,1,8,136
1027,69688,0,9,73
1029,69688,0,9,73
1031,69689,0,0,9
1033,69689,0,0,9
1035,69681,0,6,7
1036,69683,0,6,7
1038,69681,0,6,7
1039,69683,0,6,7
1041,69677,0,7,8
1042,69681,0,6,7
1044,69677,0,7,8
1045,69681,0,6,7
